Date,TP,TDP,SRP,SS,SS_min
1989-04-25,32.8,10.4,2.6,7.0,5.0
1989-04-27,48.0,13.3,3.2,14.5,12.6
1989-05-02,30.0,10.2,5.2,5.8,4.8
1989-05-05,34.2,11.0,3.2,6.7,5.5
1989-05-16,34.8,9.5,2.2,6.8,5.4
1989-06-02,33.0,9.0,2.0,5.8,3.9
1989-06-09,33.0,11.6,3.0,7.3,5.0
1989-06-29,40.8,11.6,2.7,8.8,6.2
1989-07-18,43.2,7.6,2.5,8.4,4.8
1989-08-01,48.6,8.8,2.8,13.2,9.8
1989-08-11,55.2,11.2,5.2,11.7,10.2
1989-08-16,126.0,25.9,18.4,79.4,72.6
1989-09-15,53.6,16.0,10.7,12.6,10.8
1989-10-06,31.4,16.3,12.9,4.0,2.9
1989-10-17,28.4,15.5,11.6,4.4,3.1
1989-10-30,56.0,20.6,16.2,23.4,19.8
1989-11-13,38.6,5.3,5.0,17.8,15.2
1989-12-04,23.0,6.8,6.5,20.0,16.2
1990-01-15,660.0,,,944.0,860.0
1990-01-16,815.0,,,1505.0,1355.0
1990-01-17,160.0,,,722.0,63.9
1990-01-18,340.0,,,276.0,255.0
1990-01-19,210.0,,,76.8,67.4
1990-01-22,91.2,,,28.8,25.6
1990-01-23,985.0,,,1210.0,1130.0
1990-01-24,1100.0,,,1240.0,1170.0
1990-01-25,180.0,,,109.0,99.6
1990-01-26,94.2,,,47.8,44.2
1990-01-29,92.6,,,52.6,49.3
1990-01-30,81.8,,,37.4,34.0
1990-01-31,460.0,,,427.0,396.0
1990-02-01,1070.0,,,1380.0,1270.0
1990-02-02,280.0,,,82.4,74.4
1990-02-03,210.0,,,90.0,83.8
1990-02-04,155.0,,,107.0,97.6
1990-02-05,121.0,,,83.6,76.4
1990-02-07,105.0,,,30.9,27.6
1990-02-08,305.0,,,260.0,240.0
1990-02-09,76.8,,,45.8,41.6
1990-02-12,61.2,,,28.8,25.4
1990-02-13,70.8,,,37.9,31.7
1990-02-14,86.0,,,44.5,39.7
1990-02-16,46.4,,,19.0,16.1
1990-02-19,145.0,,,66.0,60.4
1990-02-20,200.0,,,169.0,153.0
1990-02-21,75.8,,,40.0,33.5
1990-02-23,50.6,,,25.5,22.5
1990-02-26,143.0,,,123.0,111.0
1990-02-27,270.0,,,257.0,237.0
1990-02-28,56.6,,,30.0,27.0
1990-03-02,38.6,,,18.6,16.2
1990-03-05,35.0,,,16.7,14.6
1990-03-08,31.4,,,13.8,11.8
1990-03-15,35.0,,,24.8,22.0
1990-03-21,35.0,,,13.2,11.4
1990-03-27,27.6,,,11.0,8.9
1990-04-03,65.9,,,28.5,24.7
1990-04-04,112.0,,,60.5,54.0
1990-04-18,94.0,,,65.0,57.1
1990-04-25,38.3,,,6.7,5.4
1990-04-27,39.4,,,7.4,6.1
1990-05-04,38.4,,,8.4,5.8
1990-05-14,31.5,,,9.0,7.0
1990-05-21,32.8,,,8.4,5.9
1990-05-29,27.6,,,5.6,3.3
1990-06-07,28.1,,,4.1,2.2
1990-06-12,30.1,,,4.7,2.1
1990-06-19,30.4,,,4.7,2.0
1990-06-22,34.4,,,6.0,3.2
1990-06-26,70.2,,,22.9,18.4
1990-07-03,79.9,,,22.6,19.1
1990-07-10,140.0,,,81.2,74.4
1990-07-16,57.5,,,14.9,9.2
1990-07-24,46.0,,,6.9,4.3
1990-07-31,22.9,,,5.0,2.4
1990-08-06,28.7,,,4.6,2.0
1990-08-12,35.6,,,4.6,1.6
1990-08-16,21.5,,,5.2,2.6
1990-08-27,77.0,,,18.4,16.0
1990-09-03,40.7,,,10.6,7.6
1990-09-12,71.7,,,10.8,8.8
1990-09-18,83.0,,,11.0,8.2
1990-09-27,382.0,,,7.1,5.4
1990-10-03,34.3,,,4.5,3.2
1990-10-16,18.4,,,5.6,4.3
1990-10-23,23.9,,,4.0,2.8
1990-10-31,237.0,,,122.0,108.0
1990-11-02,30.8,,,12.1,10.1
1990-11-09,22.9,,,7.2,6.2
1990-11-15,101.0,,,105.0,86.0
1990-11-16,74.8,,,67.0,51.0
1990-11-22,23.3,,,5.5,4.3
1990-12-06,23.0,,,4.5,3.2
1990-12-12,35.6,,,4.2,2.8
1990-12-21,23.8,,,4.2,2.7
1990-12-27,165.0,,,26.7,24.0
1991-01-04,33.2,,,10.4,6.4
1991-01-07,58.5,,,37.2,31.2
1991-01-23,27.4,,,6.3,4.4
1991-02-07,22.4,,,3.6,2.3
1991-02-19,14.4,,,3.3,1.9
1991-03-04,24.0,,,5.4,3.6
1991-03-15,260.0,,,200.0,179.0
1991-03-18,34.8,,,13.1,10.8
1991-03-19,490.0,,,546.0,504.0
1991-03-20,235.0,,,192.0,180.0
1991-03-22,149.0,,,113.4,103.6
1991-04-03,55.7,,,260.0,220.0
1991-04-08,56.0,,,31.4,27.8
1991-04-11,82.6,,,55.5,49.7
1991-04-15,29.0,,,12.4,10.6
1991-04-23,20.4,,,8.2,6.0
1991-04-29,23.8,,,7.6,5.6
1991-05-14,22.7,,,7.0,5.1
1991-06-05,27.0,,,5.8,3.3
1991-06-11,25.7,,,4.8,1.3
1991-06-19,31.0,,,6.4,2.3
1991-07-10,22.9,,,8.1,4.0
1991-07-18,39.1,,,7.6,2.7
1991-07-24,84.5,,,31.2,4.0
1991-08-08,34.1,,,6.0,3.3
1991-08-29,22.0,,,3.0,1.5
1991-09-12,21.0,,,3.9,2.3
1991-09-17,25.1,,,3.9,2.7
1991-09-27,33.2,,,5.7,4.5
1991-10-01,44.3,,,7.6,6.0
1991-11-04,,,,298.0,271.0
1991-11-06,101.3,,,30.8,28.0
1991-11-08,,,,27.8,23.8
1991-11-11,80.4,,,55.7,49.7
1991-11-15,114.2,,,42.3,36.0
1991-11-28,90.4,,,17.0,2.8
1991-12-12,,,,5.3,1.6
1992-01-29,22.0,,,3.2,2.2
1992-02-11,57.8,,,20.3,16.8
1992-02-14,215.0,,,144.0,126.0
1992-02-20,30.1,,,6.6,5.1
1992-02-27,163.0,,,81.7,72.6
1992-03-03,417.0,,,195.0,179.0
1992-03-05,78.5,,,31.6,27.8
1992-03-11,407.0,,,542.0,493.0
1992-03-20,30.1,,,182.0,164.0
1992-03-27,48.8,,,21.6,18.2
1992-04-08,46.1,,,12.8,11.2
1992-04-27,85.6,,,40.0,34.6
1992-05-13,32.6,,,13.6,10.8
1992-06-03,30.2,,,6.8,4.0
